arm,system,gamma,client,model,bank,carrier_half,probe_index_within_bank,top_routed_class,top1_top2_margin,retained_across_carrier_halves
h0,hfl,0,0,ResNet10,bank_a,ub,4,4,0.048882148357951044,True
h0,hfl,0,0,ResNet10,bank_a,ub,5,4,0.06589992689455193,True
h0,hfl,0,0,ResNet10,bank_a,ub,6,4,0.10614021300851777,True
h0,hfl,0,0,ResNet10,bank_a,ub,7,4,0.0741278157107132,True
h0,hfl,0,0,ResNet10,bank_a,ub,8,0,0.02185171973428783,True
h0,hfl,0,0,ResNet10,bank_a,ub,9,5,0.013595566405479924,True
h0,hfl,0,0,ResNet10,bank_a,ub,10,4,0.09371144790158874,True
h0,hfl,0,0,ResNet10,bank_a,ub,11,4,0.15995477185216028,True
h0,hfl,0,0,ResNet10,bank_a,ub,12,0,0.09100626574132108,True
h0,hfl,0,0,ResNet10,bank_a,ub,13,4,0.004915386646261052,False
h0,hfl,0,0,ResNet10,bank_a,ub,14,7,0.005343018996138732,True
h0,hfl,0,0,ResNet10,bank_a,ub,15,2,0.025221047373997885,True
h0,hfl,0,0,ResNet10,bank_a,ub,16,6,0.27866851220857053,True
h0,hfl,0,0,ResNet10,bank_a,ub,17,4,0.056027196062641754,True
h0,hfl,0,0,ResNet10,bank_a,ub,18,6,0.12120534755517506,True
h0,hfl,0,0,ResNet10,bank_a,ub,19,6,0.0654621308316734,True
h0,hfl,0,0,ResNet10,bank_a,ub,20,7,0.037100212898018944,True
h0,hfl,0,0,ResNet10,bank_a,ub,21,4,0.0036172786420315545,False
h0,hfl,0,0,ResNet10,bank_a,ub,22,4,0.056991532237891995,True
h0,hfl,0,0,ResNet10,bank_a,ub,23,6,0.0640615877264551,True
h0,hfl,0,0,ResNet10,bank_a,ub,24,0,0.13304713552843894,True
h0,hfl,0,0,ResNet10,bank_a,ub,25,7,0.02474561718552004,True
h0,hfl,0,0,ResNet10,bank_a,ub,26,2,0.010312715616229436,False
h0,hfl,0,0,ResNet10,bank_a,ub,27,4,0.10827146451944421,True
h0,hfl,0,0,ResNet10,bank_a,ub,28,0,0.020804576566528066,False
h0,hfl,0,0,ResNet10,bank_a,ub,29,6,0.1618978157115432,True
h0,hfl,0,0,ResNet10,bank_a,ub,30,6,0.1299921456066917,True
h0,hfl,0,0,ResNet10,bank_a,ub,31,4,0.29345489424977633,True
h0,hfl,0,0,ResNet10,bank_a,ub,32,4,0.03615714749736021,True
h0,hfl,0,0,ResNet10,bank_a,ub,33,4,0.06418845684608412,True
h0,hfl,0,0,ResNet10,bank_a,ub,34,0,0.09378160896799864,True
h0,hfl,0,0,ResNet10,bank_a,ub,35,4,0.10319598986528739,True
h0,hfl,0,0,ResNet10,bank_a,ub,36,4,0.02111978799140625,True
h0,hfl,0,0,ResNet10,bank_a,ub,37,0,0.14341153910802634,True
h0,hfl,0,0,ResNet10,bank_a,ub,38,6,0.02301549639426133,True
h0,hfl,0,0,ResNet10,bank_a,ub,39,4,0.17757999684177156,True
h0,hfl,0,0,ResNet10,bank_a,ub,40,0,0.06478557617468997,True
h0,hfl,0,0,ResNet10,bank_a,ub,41,4,0.04894912003840994,False
h0,hfl,0,0,ResNet10,bank_a,ub,42,6,0.10223613311218313,True
h0,hfl,0,0,ResNet10,bank_a,ub,43,0,0.011911580861692611,True
h0,hfl,0,0,ResNet10,bank_a,ub,44,4,0.030675312843873773,False
h0,hfl,0,0,ResNet10,bank_a,ub,45,4,0.04569779725700748,True
h0,hfl,0,0,ResNet10,bank_a,ub,46,4,0.12264039672813332,True
h0,hfl,0,0,ResNet10,bank_a,ub,47,6,0.11186227074403536,True
h0,hfl,0,0,ResNet10,bank_a,ub,48,4,0.12848202444048867,True
h0,hfl,0,0,ResNet10,bank_a,ub,49,9,0.0033287212518841106,True
h0,hfl,0,0,ResNet10,bank_a,ub,50,7,0.0004774686764842384,False
h0,hfl,0,0,ResNet10,bank_a,ub,51,4,0.002661911314241948,False
h0,hfl,0,0,ResNet10,bank_a,ub,52,4,0.1470257430640213,True
h0,hfl,0,0,ResNet10,bank_a,ub,53,4,0.09132334347167713,True
h0,hfl,0,0,ResNet10,bank_a,ub,54,2,0.001101054353210923,False
h0,hfl,0,0,ResNet10,bank_a,ub,55,0,0.06186477135367412,True
h0,hfl,0,0,ResNet10,bank_a,ub,56,4,0.009064401735158406,False
h0,hfl,0,0,ResNet10,bank_a,ub,57,4,0.09926809871696898,True
h0,hfl,0,0,ResNet10,bank_a,ub,58,0,0.017107351475190907,True
h0,hfl,0,0,ResNet10,bank_a,ub,59,7,0.015906145438689845,True
h0,hfl,0,0,ResNet10,bank_a,ub,60,4,0.009875612778326492,True
h0,hfl,0,0,ResNet10,bank_a,ub,61,0,0.0650767082851947,True
h0,hfl,0,0,ResNet10,bank_a,ub,62,4,0.13408393056347917,True
h0,hfl,0,0,ResNet10,bank_a,ub,63,0,0.15461712257835236,True
h0,hfl,0,0,ResNet10,bank_b,ua,0,4,0.03161702423588872,True
h0,hfl,0,0,ResNet10,bank_b,ua,1,4,0.09780543200641896,True
h0,hfl,0,0,ResNet10,bank_b,ua,2,4,0.16788517578144582,True
h0,hfl,0,0,ResNet10,bank_b,ua,3,2,0.022835277186565382,False
h0,hfl,0,0,ResNet10,bank_b,ua,4,0,0.05529658252256631,True
h0,hfl,0,0,ResNet10,bank_b,ua,5,2,0.0504971611719567,True
h0,hfl,0,0,ResNet10,bank_b,ua,6,4,0.04744728193355041,True
h0,hfl,0,0,ResNet10,bank_b,ua,7,6,0.20289236701348856,True
h0,hfl,0,0,ResNet10,bank_b,ua,8,6,0.010900621150288732,True
h0,hfl,0,0,ResNet10,bank_b,ua,9,6,0.24178871118369985,True
h0,hfl,0,0,ResNet10,bank_b,ua,10,4,0.045761696722652,True
h0,hfl,0,0,ResNet10,bank_b,ua,11,4,0.08765694327250512,True
h0,hfl,0,0,ResNet10,bank_b,ua,12,4,0.07621521873262417,True
h0,hfl,0,0,ResNet10,bank_b,ua,13,7,0.010829280196474236,False
h0,hfl,0,0,ResNet10,bank_b,ua,14,6,0.01021376117315606,False
h0,hfl,0,0,ResNet10,bank_b,ua,15,9,0.0031306550989221443,False
h0,hfl,0,0,ResNet10,bank_b,ua,16,4,0.06253214613612543,True
h0,hfl,0,0,ResNet10,bank_b,ua,17,6,0.018960799405026527,True
h0,hfl,0,0,ResNet10,bank_b,ua,18,6,0.14460458648077043,True
h0,hfl,0,0,ResNet10,bank_b,ua,19,4,0.018275815175910398,True
h0,hfl,0,0,ResNet10,bank_b,ua,20,2,0.013354674111014306,False
h0,hfl,0,0,ResNet10,bank_b,ua,21,0,0.032520750222770095,True
h0,hfl,0,0,ResNet10,bank_b,ua,22,4,0.09143922960521977,True
h0,hfl,0,0,ResNet10,bank_b,ua,23,7,0.019927404998624804,False
h0,hfl,0,0,ResNet10,bank_b,ua,24,4,0.0028736443148899143,True
h0,hfl,0,0,ResNet10,bank_b,ua,25,0,0.010677939348413545,True
h0,hfl,0,0,ResNet10,bank_b,ua,26,0,0.17931497233067514,True
h0,hfl,0,0,ResNet10,bank_b,ua,27,7,0.015094242674228153,True
h0,hfl,0,0,ResNet10,bank_b,ua,28,6,0.0712725172769399,True
h0,hfl,0,0,ResNet10,bank_b,ua,29,6,0.3757622001607926,True
h0,hfl,0,0,ResNet10,bank_b,ua,30,4,0.11236256548271259,True
h0,hfl,0,0,ResNet10,bank_b,ua,31,6,0.044184577027519406,True
h0,hfl,0,0,ResNet10,bank_b,ua,32,6,0.09741812328441446,True
h0,hfl,0,0,ResNet10,bank_b,ua,33,4,0.07970232206302756,True
h0,hfl,0,0,ResNet10,bank_b,ua,34,0,0.008162965101312356,False
h0,hfl,0,0,ResNet10,bank_b,ua,35,6,0.17497059599672865,True
h0,hfl,0,0,ResNet10,bank_b,ua,36,4,0.006321547859946666,False
h0,hfl,0,0,ResNet10,bank_b,ua,37,4,0.12128068177247149,True
h0,hfl,0,0,ResNet10,bank_b,ua,38,0,0.07427575441360598,True
h0,hfl,0,0,ResNet10,bank_b,ua,39,4,0.06753745178171398,True
h0,hfl,0,0,ResNet10,bank_b,ua,40,6,0.002822781275223285,True
h0,hfl,0,0,ResNet10,bank_b,ua,41,6,0.270928235705658,True
h0,hfl,0,0,ResNet10,bank_b,ua,42,4,0.0898964426234559,True
h0,hfl,0,0,ResNet10,bank_b,ua,43,0,0.006203100625591401,True
h0,hfl,0,0,ResNet10,bank_b,ua,44,6,0.08811877305090098,True
h0,hfl,0,0,ResNet10,bank_b,ua,45,4,0.05181863593031457,True
h0,hfl,0,0,ResNet10,bank_b,ua,46,4,0.07823488449747898,True
h0,hfl,0,0,ResNet10,bank_b,ua,47,4,0.05795828093749563,True
h0,hfl,0,0,ResNet10,bank_b,ua,48,0,0.08675408529992258,True
h0,hfl,0,0,ResNet10,bank_b,ua,49,0,0.11555534472676102,True
h0,hfl,0,0,ResNet10,bank_b,ua,50,6,0.04594775714577413,True
h0,hfl,0,0,ResNet10,bank_b,ua,51,4,0.13085674488608476,True
h0,hfl,0,0,ResNet10,bank_b,ua,52,4,0.047708788347218756,True
h0,hfl,0,0,ResNet10,bank_b,ua,53,0,0.1109457710375202,True
h0,hfl,0,0,ResNet10,bank_b,ua,54,4,0.11866802096646613,True
h0,hfl,0,0,ResNet10,bank_b,ua,55,4,0.13424044188789602,True
h0,hfl,0,0,ResNet10,bank_b,ua,56,7,0.008822236833460617,False
h0,hfl,0,0,ResNet10,bank_b,ua,57,5,0.02483978552378815,False
h0,hfl,0,0,ResNet10,bank_b,ua,58,4,0.07918512587617718,True
h0,hfl,0,0,ResNet10,bank_b,ua,59,0,0.10108102291220598,True
