arm,system,gamma,client,model,bank,carrier_half,chi_out,top1_trace_share,top2_trace_share,top4_trace_share,effective_rank_entropy,effective_rank_participation,frobenius_norm,standardized_routing_energy,singular_values,positive_routing_strength,total_routing_strength,positive_class_concentration,total_class_concentration,mean_probe_top1_top2_margin,top1_class,top3_classes,top5_classes,cross_half_positive_profile_cosine,cross_half_total_profile_cosine,cross_half_z_cosine,cross_half_probe_top_class_retention,cross_bank_positive_profile_cosine,cross_bank_total_profile_cosine
h0,hfl,0,0,ResNet10,bank_a,ua,0.3433550606534415,0.5009013509360386,0.7603542472253336,0.9598227729390869,3.6518583164509577,2.9124370501310812,2.1776101924227524,4.741986150143455,1.54119021173;1.10919882835;0.833546241328;0.50107649106;0.359792370867;0.227204893918;0.0696244877848;0.0550251690023;0.0396472167464;2.76871556217e-09,0.03529785336843392,0.07409353359599148,0.24104899460524956,0.1951467798341904,0.06995711086447805,4,4;0;6,4;0;6;8;7,0.9910845920745697,0.9936002129243381,0.9792158158001669,0.84375,0.9104251269350191,0.9904868751297446
h0,hfl,0,0,ResNet10,bank_a,ub,0.36392718621604336,0.5269811034142243,0.7798677778022078,0.9620105916181543,3.481224750218785,2.7478024117813713,2.208550278915954,4.877694334499739,1.60326315448;1.11063220687;0.827550652495;0.451217119106;0.36230131748;0.212555597447;0.0699541572047;0.0489922010202;0.0395572434528;3.22387491759e-09,0.03734385793638446,0.07621397397655842,0.2674047342581916,0.20331925837353804,0.07598238383841566,4,4;0;6,4;0;6;7;8,0.9910845920745697,0.9936002129243381,0.9792158158001669,0.84375,0.9129129672053862,0.9935929268837832
h0,hfl,0,0,ResNet10,bank_b,ua,0.3362091313360678,0.4405505690289566,0.793996520947818,0.9579594151461255,3.6257800996140293,2.974339203766141,2.321258336118519,5.388240262999716,1.54071162582;1.38001873499;0.802756887675;0.488930309398;0.386634991527;0.260021322778;0.0748936667514;0.0481059969282;0.0387791020621;2.6378645148e-09,0.04191426205846247,0.08419125410937053,0.25343017111817373,0.20790269722524785,0.07497508814146489,6,6;4;0,6;4;0;8;2,0.9946597442664107,0.9901846551625446,0.9772328421365373,0.828125,0.9104251269350191,0.9904868751297446
h0,hfl,0,0,ResNet10,bank_b,ub,0.35531000544851404,0.46794876302000565,0.8167188759083733,0.9676002080606828,3.425020942692428,2.814443682031605,2.3420932956178904,5.485401005378273,1.60215062186;1.38316446162;0.785438287747;0.459054797624;0.349809741445;0.214469962454;0.0751794330932;0.0439772227225;0.042138913051;2.62135404113e-09,0.044983067442895854,0.08570939070903551,0.28407111139269936,0.21561277257956088,0.09112381211685594,4,4;6;0,4;6;0;8;2,0.9946597442664107,0.9901846551625446,0.9772328421365373,0.828125,0.9129129672053862,0.9935929268837832
h0,hfl,0,1,ResNet12,bank_a,ua,0.3399214907503617,0.5002991720870656,0.7689325916795254,0.9383281579104971,3.8954011142545246,2.9418557731951642,2.1832146822366063,4.766426348733487,1.5442276892;1.13155707293;0.742500207187;0.506068110604;0.364748146659;0.289825333698;0.192257043885;0.171921702939;0.101953497735;2.93138697136e-09,0.0386346760397774,0.07447541169896073,0.1691708131441863,0.12557854760737155,0.04388677890539474,3,3;0;5,3;0;5;8;4,0.9834185890651166,0.9966672331200771,0.9749051022544968,0.84375,0.9745016304650091,0.9819761373408332
h0,hfl,0,1,ResNet12,bank_a,ub,0.33494597588753655,0.5015440904680266,0.7456674927352375,0.9334238665761594,3.9503260218983454,2.9855560955680223,2.202793270875989,4.852298194216541,1.56001329626;1.0883747259;0.831373978089;0.468900013113;0.388878714028;0.306444257581;0.21183549528;0.1558010804;0.0936176321377;2.99119506903e-09,0.03913723680820368,0.07581715928463345,0.159308885852643,0.12534615319505002,0.04134711990091185,3,3;8;0,3;8;0;5;4,0.9834185890651166,0.9966672331200771,0.9749051022544968,0.84375,0.9831723776233816,0.9844416944228355
h0,hfl,0,1,ResNet12,bank_b,ua,0.2963381051853497,0.44925075374825485,0.7220788306438259,0.8983806664424226,4.477633358363832,3.374523837800605,1.9794360310602233,3.9181670010594494,1.32674016994;1.03391777616;0.66798346983;0.494548399336;0.418365074761;0.32255908968;0.289714584775;0.164530294159;0.0899058339161;2.42059726798e-09,0.03126051150497566,0.0612213593915539,0.16682073663541636,0.12197125238110022,0.030659091132296815,3,3;5;0,3;5;0;2;4,0.968468915772895,0.9934758329062813,0.9648200944244317,0.765625,0.9745016304650091,0.9819761373408332
h0,hfl,0,1,ResNet12,bank_b,ub,0.2788157440786194,0.4261739456072397,0.6794148727182661,0.906138123081308,4.624594381625445,3.586598035563003,1.9404707016595835,3.765426543999237,1.26677807336;0.976504024042;0.782169770517;0.491853835147;0.358376495949;0.331898837296;0.285130854146;0.157893785721;0.0927868536834;2.93539030319e-09,0.029863428450888206,0.05883478974998809,0.14916575858351475,0.12338863538997315,0.03682073526358254,3,3;5;8,3;5;8;0;4,0.968468915772895,0.9934758329062813,0.9648200944244317,0.765625,0.9831723776233816,0.9844416944228355
h0,hfl,0,2,ShuffleNet,bank_a,ua,0.3335723351082686,0.4646848332873143,0.7841787420892768,0.9459324124251213,3.830067361113325,2.997850525201465,2.331836722290767,5.437462499423749,1.58956168646;1.31804254404;0.76634734552;0.540593435596;0.38236068671;0.282142197208;0.192584682696;0.165596336654;0.0606263883372;2.34473931984e-09,0.04330634347380116,0.08496035155349603,0.19503264313325744,0.1373881298335402,0.054779979468657716,8,8;3;6,8;3;6;0;7,0.9971065472991882,0.9983380916694116,0.9808578720720091,0.78125,0.9544218621790614,0.9615904554463273
h0,hfl,0,2,ShuffleNet,bank_a,ub,0.3281634769673615,0.4583494972211087,0.7760807571430632,0.9425259130094574,3.8958244209088173,3.0472617161367137,2.2651416559362962,5.130866721457826,1.53353519102;1.27680724775;0.773538986513;0.505613832413;0.362173098851;0.293368938635;0.202944435016;0.184122986577;0.0506899862635;2.70958441328e-09,0.040846638021433894,0.08016979252277856,0.20022954883886268,0.138733767395173,0.05496672916908389,8,8;6;3,8;6;3;0;7,0.9971065472991882,0.9983380916694116,0.9808578720720091,0.78125,0.9585693818360984,0.9650226026773919
h0,hfl,0,2,ShuffleNet,bank_b,ua,0.30509137359853744,0.4527042167396171,0.7223110450172555,0.9268021858115831,4.192309652910207,3.2777065709914135,2.4003899370218944,5.761871849755978,1.6150615105;1.2463707291;0.929384411254;0.560799753732;0.479655922575;0.30800597703;0.248328286717;0.177878859977;0.0592546392875;2.71597533108e-09,0.04280684852007197,0.09002924765243708,0.1605846767321607,0.1459990825890816,0.05995437768985391,6,6;8;3,6;8;3;0;9,0.9952759579165733,0.9987459592350314,0.9855254517076433,0.875,0.9544218621790614,0.9615904554463273
h0,hfl,0,2,ShuffleNet,bank_b,ub,0.3117793743806571,0.4629061407703852,0.7268690872627791,0.931958309984991,4.123700134954423,3.207396262126931,2.384007231784832,5.6834904812023765,1.62201191264;1.22483912976;0.934589254875;0.540523422075;0.438891193976;0.294808798636;0.253953612971;0.198560867366;0.0570765628922;2.59954749424e-09,0.04174186817597381,0.08880453876878713,0.16795475272337007,0.14796187466778218,0.056401352393285135,6,6;8;3,6;8;3;0;9,0.9952759579165733,0.9987459592350314,0.9855254517076433,0.875,0.9585693818360984,0.9650226026773919
h0,hfl,0,3,Mobilenetv2,bank_a,ua,0.35190276756656974,0.5207533581304804,0.7692031487725657,0.9532311677171985,3.7220133021192163,2.8416940477968464,2.214530902863986,4.904147119739579,1.5980773077;1.10382712649;0.754709277948;0.576987335075;0.366954819376;0.211239261332;0.185275957645;0.117411291341;0.0443934378606;2.60690341267e-09,0.038744443101550854,0.07662729874593092,0.17056764029033117,0.13297519936000682,0.035358374428103134,6,6;0;8,6;0;8;4;9,0.9969957319081836,0.994667522352867,0.9810073676225118,0.796875,0.927078503446126,0.9814072154290944
h0,hfl,0,3,Mobilenetv2,bank_a,ub,0.3642582159157649,0.538397050288231,0.7774712262167375,0.9555974259449485,3.6387734156416003,2.745305270557043,2.1817142974193175,4.7598772755638645,1.60084474103;1.06675383157;0.710538173552;0.585657198534;0.348358994924;0.206530527349;0.184875084576;0.106263482661;0.0432577219048;2.85115726555e-09,0.037176324770986806,0.07437308243068544,0.1636742245783861,0.13002051591721045,0.032311715623366905,0,0;8;6,0;8;6;4;5,0.9969957319081836,0.994667522352867,0.9810073676225118,0.796875,0.9252605727011622,0.9767943020693578
h0,hfl,0,3,Mobilenetv2,bank_b,ua,0.30961580545676465,0.4658584000970513,0.7197392193574562,0.9420314924500341,4.099021339740423,3.2298092745023386,2.26704453894144,5.1394909415442065,1.54734450829;1.14228637864;0.855756082148;0.640430052232;0.427123175564;0.252493864263;0.181266552045;0.126134114228;0.0545333218323;2.88578071848e-09,0.040730264913682375,0.08030454596162824,0.17267096002098056,0.13853805863232027,0.051256530661592165,6,6;0;4,6;0;4;9;8,0.996311772795743,0.9906449044293448,0.9798668898982632,0.875,0.927078503446126,0.9814072154290944
