system,client,model,bank,carrier_half,chi_out_low,chi_out_high,chi_out_delta,chi_out_ratio,positive_routing_strength_low,positive_routing_strength_high,positive_routing_strength_delta,positive_routing_strength_ratio,total_routing_strength_low,total_routing_strength_high,total_routing_strength_delta,total_routing_strength_ratio,positive_class_concentration_low,positive_class_concentration_high,positive_class_concentration_delta,positive_class_concentration_ratio,total_class_concentration_low,total_class_concentration_high,total_class_concentration_delta,total_class_concentration_ratio,standardized_routing_energy_low,standardized_routing_energy_high,standardized_routing_energy_delta,standardized_routing_energy_ratio,cross_half_positive_profile_cosine_low,cross_half_positive_profile_cosine_high,cross_half_positive_profile_cosine_delta,cross_half_positive_profile_cosine_ratio,cross_bank_positive_profile_cosine_low,cross_bank_positive_profile_cosine_high,cross_bank_positive_profile_cosine_delta,cross_bank_positive_profile_cosine_ratio,mean_centered_response_energy_low,mean_centered_response_energy_high,mean_centered_response_energy_delta,mean_centered_response_energy_ratio,mean_raw_output_delta_energy_low,mean_raw_output_delta_energy_high,mean_raw_output_delta_energy_delta,mean_raw_output_delta_energy_ratio,mean_abs_output_norm_change_low,mean_abs_output_norm_change_high,mean_abs_output_norm_change_delta,mean_abs_output_norm_change_ratio,nonselective_response_magnitude_low,nonselective_response_magnitude_high,nonselective_response_magnitude_delta,nonselective_response_magnitude_ratio,common_mode_magnitude_low,common_mode_magnitude_high,common_mode_magnitude_delta,common_mode_magnitude_ratio,positive_clients_chi_out,positive_clients_positive_routing_strength,positive_clients_class_concentration
hfl,0,ResNet10,bank_a,ua,0.3433550606534415,0.5543229881526499,0.2109679274992084,1.61443080843515,0.03529785336843392,0.20552238948731513,0.17022453611888122,5.822518081660079,0.07409353359599148,0.3330631817355935,0.25896964813960205,4.495172055731423,0.24104899460524956,0.35978812793434295,0.11873913332909339,1.4925933564753184,0.1951467798341904,0.18035724555453309,-0.014789534279657318,0.924213280418218,4.741986150143455,21.316043631077978,16.574057480934524,4.495172055791143,0.9910845920745697,0.9995850089513605,0.008500416876790817,1.0085768832890327,0.9104251269350191,0.996968745769541,0.08654361883452188,1.0950584691404326,8.804822290407992,52.72433010575215,43.91950781534416,5.9881197333402465,5.126994666522399,48.597798362011176,43.470803695488776,9.478808058711168,0.7561972956948648,3.4738782760899363,2.7176809803950714,4.593878205942562,2.065779906739849,5.313235062802949,3.2474551560631,2.572023788916392,0.12253810364263483,0.6780095677492705,0.5554714641066356,5.533050925294691,,,
hfl,1,ResNet12,bank_a,ua,0.3399214907503617,0.7245763416461415,0.3846548508957798,2.131599093792333,0.0386346760397774,0.21399832543119812,0.1753636493914207,5.539022126271518,0.07447541169896073,0.3946398728521608,0.3201644611532001,5.298928382457923,0.1691708131441863,0.5852307556546431,0.4160599425104568,3.459407357416817,0.12557854760737155,0.28611871596931593,0.16054016836194437,2.2784044044019676,4.766426348733487,25.256951862538294,20.49052551380481,5.298928382527962,0.9834185890651166,0.9999328134303493,0.016514224365232755,1.0167926705350518,0.9745016304650091,0.9991773514030092,0.02467572093800008,1.0253213747063719,7.815201540158667,19.528325591107173,11.713124050948505,2.498761611041985,5.190141616103423,10.862428213486504,5.672286597383081,2.092896305523074,0.688923365387098,0.7994694222829015,0.11054605689580355,1.1604620520201525,1.9167039816343252,3.255865288859416,1.3391613072250907,1.6986792535806823,0.09713059961909895,0.10559516898721921,0.008464569368120262,1.0871462690462863,,,
hfl,2,ShuffleNet,bank_a,ua,0.3335723351082686,0.5606973449731383,0.22712500986486966,1.6808868301067896,0.04330634347380116,0.14617406465572477,0.10286772118192361,3.3753499586216433,0.08496035155349603,0.26426048394379753,0.17930013239030151,3.1103977220985626,0.19503264313325744,0.2346119500999687,0.039579306966711275,1.202936833186768,0.1373881298335402,0.1351879709407496,-0.002200158892790599,0.9839858152488115,5.437462499423749,16.912670972403056,11.475208472979308,3.1103977221346018,0.9971065472991882,0.9987084014621203,0.0016018541629320149,1.0016065025009306,0.9544218621790614,0.9774588225718158,0.02303696039275438,1.0241370837201216,5.666520474106814,11.784354847711315,6.117834373604501,2.0796456840768314,3.6260096663233634,7.761236954829414,4.135227288506051,2.1404347117190325,0.47070849218024313,0.5883476540608507,0.11763916188060752,1.249919353131856,1.7324277231530831,2.537745422427873,0.8053176992747897,1.4648492335412506,0.030143429262160498,0.04729585017187347,0.01715242090971297,1.569026860181288,,,
hfl,3,Mobilenetv2,bank_a,ua,0.35190276756656974,0.7307915069690132,0.37888873940244344,2.0766858755343325,0.038744443101550854,0.17437571802026958,0.13563127491871874,4.500663941890264,0.07662729874593092,0.29290667141714566,0.21627937267121472,3.8224846263274697,0.17056764029033117,0.4347630803153751,0.2641954400250439,2.5489188897307575,0.13297519936000682,0.22082189784413994,0.08784669848413312,1.6606246796791264,4.904147119739579,18.74602697069732,13.841879850957739,3.822484626376574,0.9969957319081836,0.9999671494011281,0.0029714174929444948,1.0029803713264194,0.927078503446126,0.9949866280607053,0.06790812461457929,1.0732495946795,7.44949018419911,12.702931920037035,5.253441735837924,1.705208223104869,4.88111522521418,7.943384434428035,3.062269209213855,1.6273708093170156,0.6141462821245282,0.6328579023951413,0.018711620270613127,1.0304676928188072,1.9230922178596788,2.6227966606237922,0.6997044427641135,1.3638434164855033,0.05671095281611197,0.08759728948648192,0.030886336670369947,1.544627362706738,,,
hfl,pooled_mean,all_four_clients,bank_a,ua,0.34218791351966044,0.6425970454352357,0.3004091319155753,1.8759006519671513,0.03899582899589084,0.1850176243986269,0.14602179540273608,4.809388527110876,0.0775391488985948,0.3212175524871744,0.24367840358857962,4.181745696653845,0.1939550227932561,0.40359847850108244,0.20964345570782636,2.175964109202415,0.14777216415877725,0.20562145757718464,0.057849293418407395,1.4618070449370308,4.962505529510067,20.557923359179163,15.595417829669096,4.18174569670757,0.9921513650867645,0.9995483433112395,0.00739697822447502,1.0074891069128586,0.9416067807563039,0.9921478869512678,0.05054110619496391,1.0544416305616067,7.434008622218146,24.184985616151916,16.750976993933776,3.067933812890983,4.706065293540841,18.791211991188785,14.085146697647941,3.834877471317573,0.6324938588466835,1.3736383137072075,0.7411444548605239,2.008681825978344,1.9095009573467343,3.4324106086785076,1.5229096513317737,1.774848923130957,0.07663077133500155,0.22962446909871126,0.1529936977637097,2.4334628543072507,4,4,4
hfl,0,ResNet10,bank_a,ub,0.36392718621604336,0.5526398992729885,0.18871271305694515,1.518545248068932,0.03734385793638446,0.20371313555643075,0.1663692776200463,5.455064013418285,0.07621397397655842,0.33251399721112757,0.25630002323456913,4.362900657942832,0.2674047342581916,0.36071777004036054,0.09331303578216893,1.3489580543129875,0.20331925837353804,0.17873937558784692,-0.02457988278569112,0.879106962207131,4.877694334499739,21.28089582151217,16.40320148701243,4.362900657999185,0.9910845920745697,0.9995850089513605,0.008500416876790817,1.0085768832890327,0.9129129672053862,0.9968509862281971,0.08393801902281095,1.0919452587892036,8.352881209242812,52.40075773590129,44.04787652665848,6.273375189139693,4.8380758810239035,47.8433079062752,43.005232025251296,9.888912262397177,0.7309362226991389,3.4077754272081804,2.6768392045090414,4.662206251893737,2.03037471274862,5.297148785422047,3.2667740726734276,2.608951319260878,0.11886667185415281,0.6649641078685178,0.546097436014365,5.594201448483576,,,
hfl,1,ResNet12,bank_a,ub,0.33494597588753655,0.7344146169831596,0.399468641095623,2.1926360364083264,0.03913723680820368,0.2121002161247863,0.1729629793165826,5.419396805113944,0.07581715928463345,0.3857892273312165,0.30997206804658306,5.088415748706631,0.159308885852643,0.6038647200268952,0.44455583417425215,3.790527545222213,0.12534615319505002,0.2900538608658947,0.16470770767084467,2.314022835724607,4.852298194216541,24.690510549197835,19.838212354981295,5.088415748772693,0.9834185890651166,0.9999328134303493,0.016514224365232755,1.0167926705350518,0.9831723776233816,0.9991845284678046,0.01601215084442298,1.0162862090187204,7.439262176377653,19.29004977088792,11.850787594510265,2.5930057730910745,5.024102902632383,10.762724432164728,5.738621529532344,2.142218151328757,0.6919638426437152,0.8169499526579576,0.12498611001424231,1.1806252036747182,1.9024028910517388,3.2459243975092558,1.343521506457517,1.7062234360425346,0.09912206136877648,0.10977902446031802,0.010656963091541544,1.1075135337509332,,,
hfl,2,ShuffleNet,bank_a,ub,0.3281634769673615,0.5635320992241072,0.2353686222567457,1.7172297917797776,0.040846638021433894,0.13926907402531363,0.09842243600387973,3.409560266595844,0.08016979252277856,0.2517677688100335,0.17159797628725493,3.140431837033363,0.20022954883886268,0.2341660261189258,0.03393647728006313,1.169487857689798,0.138733767395173,0.136164090287908,-0.0025696771072650226,0.9814776376617311,5.130866721457826,16.113137203842147,10.98227048238432,3.140431837071925,0.9971065472991882,0.9987084014621203,0.0016018541629320149,1.0016065025009306,0.9585693818360984,0.9753997934061708,0.016830411570072368,1.0175578438952608,5.6854058413327415,11.6061716805582,5.920765839225458,2.041397220261677,3.631794833927403,7.592205616722996,3.960410782795593,2.0904830707385353,0.4684403635711742,0.5772429137852845,0.10880255021411028,1.2322655319097982,1.7331968886979385,2.5230448492272086,0.7898479605292701,1.4557173888773747,0.030399758020532318,0.0477539521579689,0.01735419413743658,1.570866193215897,,,
hfl,3,Mobilenetv2,bank_a,ub,0.3642582159157649,0.7262744609846655,0.3620162450689006,1.9938451056121778,0.037176324770986806,0.17043337492938884,0.13325705015840203,4.584460028652812,0.07437308243068544,0.28716215226095354,0.2127890698302681,3.861103276507641,0.1636742245783861,0.4303487462634339,0.2666745216850478,2.6293006572620357,0.13002051591721045,0.21737763732675855,0.0873571214095481,1.6718718257009546,4.7598772755638645,18.378377744701027,13.618500469137162,3.8611032765587483,0.9969957319081836,0.9999671494011281,0.0029714174929444948,1.0029803713264194,0.9252605727011622,0.9938778698062615,0.06861729710509923,1.0741599708541638,7.101698640713292,13.077394877328523,5.975696236615231,1.8414460453665762,4.741852581833694,8.1484270430612,3.406574461227507,1.718405813431773,0.6064464891692241,0.6475628710919301,0.04111638192270606,1.0677988621518182,1.8958161891110525,2.66028175146091,0.7644655623498573,1.403238228863797,0.05618519021280227,0.08774794127902787,0.031562751066225594,1.5617628229987195,,,
hfl,pooled_mean,all_four_clients,bank_a,ub,0.34782371374667653,0.6442152691162302,0.29639155536955364,1.8555640454673035,0.038626014384252214,0.18137895015897987,0.14275293577472767,4.717120278445222,0.07664350205366396,0.31430828640333275,0.2376647843496688,4.113212880047617,0.19765434838202084,0.40727431561240385,0.209619967230383,2.2345685286217587,0.1493549237202429,0.20558374101710203,0.056228817296859156,1.4616198153236057,4.905184131434493,20.115730329813296,15.210546198378802,4.113212880100638,0.9921513650867645,0.9995483433112395,0.00739697822447502,1.0074891069128586,0.9449788248415071,0.9913282944771086,0.04634946963560138,1.049987320639337,7.144811966916625,24.093593516168987,16.94878154925236,3.187306056964755,4.558956549854345,18.586666249556032,14.027709699701685,3.9600048244740607,0.6244467295208131,1.3623827911858382,0.737936061665025,2.035723962407518,1.8904476704023376,3.431599945904855,1.541152275502518,1.7935325932611461,0.07614342036406596,0.22756125644145814,0.15141783607739218,2.458585999612281,4,4,4
