arm,system,gamma,client,model,bank,carrier_half,mean_centered_response_energy,mean_raw_output_delta_energy,mean_abs_output_norm_change,mean_signed_output_norm_change,nonselective_response_magnitude,common_mode_magnitude,mean_coherent_centered_norm
h0,hfl,0,0,ResNet10,bank_a,ua,8.804822290407992,5.126994666522399,0.7561972956948648,-0.2520727782947245,2.065779906739849,0.12253810364263483,0.6999740402448515
h0,hfl,0,0,ResNet10,bank_a,ub,8.352881209242812,4.8380758810239035,0.7309362226991389,-0.18287430679128483,2.03037471274862,0.11886667185415281,0.6969911543350769
h0,hfl,0,0,ResNet10,bank_b,ua,11.390947715694434,6.374545668666442,0.8939785660542723,-0.24973461796057916,2.5305734124774077,0.14401969003168053,0.9081288009885894
h0,hfl,0,0,ResNet10,bank_b,ub,11.144618282812235,6.197368301251848,0.8742811399936863,-0.16408270454973456,2.5087098042067093,0.1412217462958826,0.9114552600464528
h0,hfl,0,1,ResNet12,bank_a,ua,7.815201540158667,5.190141616103423,0.688923365387098,-0.05961112420841559,1.9167039816343252,0.09713059961909895,0.646749127293501
h0,hfl,0,1,ResNet12,bank_a,ub,7.439262176377653,5.024102902632383,0.6919638426437152,-0.057996997487585175,1.9024028910517388,0.09912206136877648,0.6419162393897824
h0,hfl,0,1,ResNet12,bank_b,ua,9.166320841850688,6.055144020029029,0.81781356003334,-0.08430572106136588,2.2570534332859022,0.11391398396588627,0.6522183881800704
h0,hfl,0,1,ResNet12,bank_b,ub,8.834754904749214,5.890000083560031,0.8214333541448503,-0.08624022057803694,2.2406826901252765,0.11641282347905216,0.6277451744612466
h0,hfl,0,2,ShuffleNet,bank_a,ua,5.666520474106814,3.6260096663233634,0.47070849218024313,-0.14843099075506727,1.7324277231530831,0.030143429262160498,0.6017337265228722
h0,hfl,0,2,ShuffleNet,bank_a,ub,5.6854058413327415,3.631794833927403,0.4684403635711742,-0.13430359659366448,1.7331968886979385,0.030399758020532318,0.587983794706647
h0,hfl,0,2,ShuffleNet,bank_b,ua,7.025112661377451,4.517746269728213,0.5810931560862962,-0.21632692310055412,2.088120073230767,0.03876561435493495,0.7272656876857344
h0,hfl,0,2,ShuffleNet,bank_b,ub,7.058782270200469,4.521304494123324,0.5764975112764354,-0.21107482896648244,2.0886619886763276,0.03956315300361457,0.7214084926031747
h0,hfl,0,3,Mobilenetv2,bank_a,ua,7.44949018419911,4.88111522521418,0.6141462821245282,-0.3487885267513761,1.9230922178596788,0.05671095281611197,0.667589974690708
h0,hfl,0,3,Mobilenetv2,bank_a,ub,7.101698640713292,4.741852581833694,0.6064464891692241,-0.3368507543467545,1.8958161891110525,0.05618519021280227,0.6332522867991368
h0,hfl,0,3,Mobilenetv2,bank_b,ua,8.725603896573293,5.586509192162247,0.6960226554706835,-0.3731091925537139,2.2683673297665763,0.06348796871141531,0.7527313094107552
h0,hfl,0,3,Mobilenetv2,bank_b,ub,8.624571680954894,5.655316988635882,0.6927750947695409,-0.36811049873758234,2.261625278481661,0.06299339593606418,0.7267398465490854
h9,hfl,9,0,ResNet10,bank_a,ua,52.72433010575215,48.597798362011176,3.4738782760899363,1.237126626830995,5.313235062802949,0.6780095677492705,3.8586729932687476
