gamma,foreign_survival_gap,positive_survival_gap_fraction,count_auditable_fraction_min10,projected_sample_activation_min10,count_auditable_fraction_min5,projected_sample_activation_min5,fra_activation,tau_activation,full_gate_activation,direct_kd_increment_over_ce,cmt_increment_over_ce,tau_selected_cmt_increment,full_selected_cmt_increment,tau_increment_precision,tau_increment_recall,full_increment_precision
0.0,0.0016166666666666731,0.325,0.75,0.11457870242689804,0.775,0.11562475838470122,0.23809523809523808,0.6857142857142857,0.23809523809523808,-0.04209750394026438,0.0018922914351735796,0.0027595916762948036,0.004325394630432129,0.9027777777777778,1.0,0.92
0.6,0.06916666666666667,0.75,0.75,0.08111737037738888,0.775,0.0822997708614705,0.19047619047619047,0.6952380952380952,0.19047619047619047,-0.04885353935616357,0.0018580542788619087,0.0026725438257602795,0.003798702359199524,0.9041095890410958,1.0,0.85
0.9,0.15587500000000004,0.75,0.75,0.04472627449170606,0.775,0.04498453748553621,0.14285714285714285,0.6666666666666666,0.14285714285714285,-0.07241248892886298,0.0017009832319759188,0.002605929651430675,0.0032796849807103473,0.8571428571428571,1.0,0.8
