scope,n,pearson,spearman
client_all,8,0.9684263184793256,0.7317073170731707
client_crsf,4,0.9994559555750294,0.7777777777777779
client_rawspec,4,-0.33699241390839285,0.3333333333333334
client_resnet10,4,1.0,1.0
client_mobilenetv2,4,0.8873064825082752,0.7999999999999998
pooled_system_arm,4,0.9985591332459525,0.7999999999999998
