arm,client,model,bound_class,binding_family,output_class,mean_centered_logit_response
h0,1,ResNet12,1,2,9,0.03942404491864161
h0,1,ResNet12,2,3,0,-0.07748295001618023
h0,1,ResNet12,2,3,1,-0.21080388161539612
h0,1,ResNet12,2,3,2,0.06169472779611844
h0,1,ResNet12,2,3,3,-0.005988445083257218
h0,1,ResNet12,2,3,4,0.05042246121825667
h0,1,ResNet12,2,3,5,0.017050129446378407
h0,1,ResNet12,2,3,6,0.09989267546580032
h0,1,ResNet12,2,3,7,0.02603478301708581
h0,1,ResNet12,2,3,8,0.023683799283206984
h0,1,ResNet12,2,3,9,0.01549670048798762
h0,1,ResNet12,3,0,0,-0.08534707421882398
h0,1,ResNet12,3,0,1,-0.43948295468604653
h0,1,ResNet12,3,0,2,0.14658411535007457
h0,1,ResNet12,3,0,3,0.0974066240813314
h0,1,ResNet12,3,0,4,0.21903024208255098
h0,1,ResNet12,3,0,5,0.1580751538848391
h0,1,ResNet12,3,0,6,0.10052422815153675
h0,1,ResNet12,3,0,7,0.011021858602245714
h0,1,ResNet12,3,0,8,-0.11384870026902993
h0,1,ResNet12,3,0,9,-0.09396349297867798
h0,1,ResNet12,4,1,0,-0.007436338656424159
h0,1,ResNet12,4,1,1,-0.4034191496771042
h0,1,ResNet12,4,1,2,0.129904613705729
h0,1,ResNet12,4,1,3,0.026607526486924594
h0,1,ResNet12,4,1,4,0.17396745437924166
h0,1,ResNet12,4,1,5,0.1340473886660559
h0,1,ResNet12,4,1,6,-0.008987305388425558
h0,1,ResNet12,4,1,7,0.04062112229380154
h0,1,ResNet12,4,1,8,6.055035364930354e-05
h0,1,ResNet12,4,1,9,-0.08536586216344778
h0,1,ResNet12,5,2,0,0.013258820828688326
h0,1,ResNet12,5,2,1,0.01796768130085978
h0,1,ResNet12,5,2,2,-0.025537659225737676
h0,1,ResNet12,5,2,3,-0.07003651791633633
h0,1,ResNet12,5,2,4,0.10899462056191006
h0,1,ResNet12,5,2,5,-0.10292240245923276
h0,1,ResNet12,5,2,6,0.06621749860934016
h0,1,ResNet12,5,2,7,-0.12013230497205434
h0,1,ResNet12,5,2,8,0.07276621835392112
h0,1,ResNet12,5,2,9,0.03942404491864161
h0,1,ResNet12,6,3,0,-0.07748295001618023
h0,1,ResNet12,6,3,1,-0.21080388161539612
h0,1,ResNet12,6,3,2,0.06169472779611844
h0,1,ResNet12,6,3,3,-0.005988445083257218
h0,1,ResNet12,6,3,4,0.05042246121825667
h0,1,ResNet12,6,3,5,0.017050129446378407
h0,1,ResNet12,6,3,6,0.09989267546580032
h0,1,ResNet12,6,3,7,0.02603478301708581
h0,1,ResNet12,6,3,8,0.023683799283206984
h0,1,ResNet12,6,3,9,0.01549670048798762
h0,1,ResNet12,7,0,0,-0.08534707421882398
h0,1,ResNet12,7,0,1,-0.43948295468604653
h0,1,ResNet12,7,0,2,0.14658411535007457
h0,1,ResNet12,7,0,3,0.0974066240813314
h0,1,ResNet12,7,0,4,0.21903024208255098
h0,1,ResNet12,7,0,5,0.1580751538848391
h0,1,ResNet12,7,0,6,0.10052422815153675
h0,1,ResNet12,7,0,7,0.011021858602245714
h0,1,ResNet12,7,0,8,-0.11384870026902993
h0,1,ResNet12,7,0,9,-0.09396349297867798
h0,1,ResNet12,8,1,0,-0.007436338656424159
h0,1,ResNet12,8,1,1,-0.4034191496771042
h0,1,ResNet12,8,1,2,0.129904613705729
h0,1,ResNet12,8,1,3,0.026607526486924594
h0,1,ResNet12,8,1,4,0.17396745437924166
h0,1,ResNet12,8,1,5,0.1340473886660559
h0,1,ResNet12,8,1,6,-0.008987305388425558
h0,1,ResNet12,8,1,7,0.04062112229380154
h0,1,ResNet12,8,1,8,6.055035364930354e-05
h0,1,ResNet12,8,1,9,-0.08536586216344778
h0,1,ResNet12,9,2,0,0.013258820828688326
h0,1,ResNet12,9,2,1,0.01796768130085978
h0,1,ResNet12,9,2,2,-0.025537659225737676
h0,1,ResNet12,9,2,3,-0.07003651791633633
h0,1,ResNet12,9,2,4,0.10899462056191006
h0,1,ResNet12,9,2,5,-0.10292240245923276
h0,1,ResNet12,9,2,6,0.06621749860934016
h0,1,ResNet12,9,2,7,-0.12013230497205434
h0,1,ResNet12,9,2,8,0.07276621835392112
h0,1,ResNet12,9,2,9,0.03942404491864161
h0,2,ShuffleNet,0,2,0,-0.04439909334602374
h0,2,ShuffleNet,0,2,1,-0.11655205083540131
h0,2,ShuffleNet,0,2,2,-0.031264656509440644
h0,2,ShuffleNet,0,2,3,0.013017934290814525
h0,2,ShuffleNet,0,2,4,0.04760105217669877
h0,2,ShuffleNet,0,2,5,0.04001586268390946
h0,2,ShuffleNet,0,2,6,0.12113631621048802
h0,2,ShuffleNet,0,2,7,-0.06978279887717355
h0,2,ShuffleNet,0,2,8,0.09564511847785677
h0,2,ShuffleNet,0,2,9,-0.05541768427172843
h0,2,ShuffleNet,1,3,0,-0.2612290991030332
