arm,mean_cosine,mean_pearson,mean_spearman,mean_top3_overlap,mean_rank_displacement,target_signed_destructive_score,target_signed_destructive_percentile,target_energy_destructive_score,target_energy_destructive_percentile,target_dsa_reduction,p3a_target_dsa_percentile,random_signed_vs_dsa_reduction_pearson,random_energy_vs_dsa_reduction_pearson
h0,0.7870751516908372,0.43197610203458026,0.296969696969697,0.3333333333333333,2.75,0.03943563112014768,0.655,0.022405609562625366,0.664,0.001371634903399429,0.537,0.5253316830896415,0.46077673233680455
h9,0.8495740316104021,0.8536410322924208,0.7090909090909091,0.8333333333333333,1.5499999999999998,0.7925014616045951,0.425,10.209950926393457,0.748,0.2174904865514837,0.601,0.7205639057284622,0.6366041693745735
l0,0.8056603011285571,0.4506798626721044,0.303030303030303,0.49999999999999994,2.55,0.0337548953881238,0.439,0.024843212990200467,0.651,0.0016110145463558976,0.443,0.6205963033364167,0.4951909429070785
l9,0.845856192265219,0.8810701552634824,0.4666666666666667,0.8333333333333333,2.2,1.3440735634887573,1.0,13.953624935450444,0.997,0.2667019254838695,0.0,0.6765434657395357,0.6013271118386698
