severity,frobenius_from_pooled,mean_diagonal_recall,min_singular_value,condition_number
1,0.6497738067974116,0.3984,0.08445194974875864,12.758114084452322
2,0.3099451564390061,0.49640000000000006,0.05270503952189438,19.50621872495077
3,0.26434068926292825,0.6334000000000001,0.29400976741108287,3.426995623459379
4,0.3294783756181884,0.6584,0.34952086442845787,2.912435558894007
5,0.31562002471326184,0.6304000000000001,0.36320885820251136,2.7075903538756925
