observed_environment,clean,noise,blur,weather,digital,unknown
clean,0.6107784431137725,0.011976047904191617,0.17964071856287425,0.11976047904191617,0.2710843373493976,0.05421686746987952
noise,0.05389221556886228,0.8083832335329342,0.0,0.0718562874251497,0.012048192771084338,0.3072289156626506
blur,0.11976047904191617,0.0,0.6826347305389222,0.03592814371257485,0.27710843373493976,0.018072289156626505
weather,0.17365269461077845,0.017964071856287425,0.0658682634730539,0.592814371257485,0.0783132530120482,0.14457831325301204
digital,0.029940119760479042,0.0,0.059880239520958084,0.017964071856287425,0.3253012048192771,0.05421686746987952
unknown,0.011976047904191617,0.16167664670658682,0.011976047904191617,0.16167664670658682,0.03614457831325301,0.42168674698795183
