arm,identity_dsa,targeted_dsa,absolute_reduction,relative_reduction,positive_clients,random_mean,random_std,targeted_percentile,q05,q10,q25,q50,q75,q90,q95
h0,0.0015228341478486312,0.00015119924444920206,0.001371634903399429,0.9007119418989131,3,-3.607459962201251e-05,0.0018802550730844245,0.537,-0.00307034998976287,-0.002442511429945921,-0.0014532178436912988,-3.820844548860779e-05,0.001325605573576404,0.0024423713549774394,0.0029143754518317407
h9,0.20427049371638853,-0.013219992835095182,0.2174904865514837,1.064718073538243,4,-0.014649572390302285,0.01518692608339786,0.601,-0.036009975021187836,-0.032511865459383435,-0.025837545428525684,-0.016644649813668734,-0.005634057514027447,0.005725830964085987,0.012981754570565458
l0,0.0008234009655557642,-0.0007876135808001334,0.0016110145463558976,1.9565371086393943,2,-0.0002491484201305853,0.0036032608115970735,0.443,-0.00641836642256688,-0.004906726549463869,-0.002766191594359107,-0.000121096726561661,0.0023401687396397003,0.004439725356948444,0.005444858372729424
l9,0.20518927877331875,-0.061512646710550775,0.2667019254838695,1.299784896545236,4,-0.01837057034552469,0.01671969491955301,0.0,-0.04252683227250807,-0.0386796563036223,-0.03028361766583789,-0.020119794878926074,-0.008442715153435743,0.00475525042815829,0.010884840913318417
