client,model,base_grid_acc,plugin_grid_acc,grid_acc_delta,base_dsa,plugin_dsa,dsa_reduction,pew_family_accuracy,pew_unknown_rate,pew_mean_confidence,fit_valid_classes_for_ber,ber_valid_groups,ber_effective_groups_per_class,ber_multiplier_p95,ber_multiplier_max
0,ResNet10,19.62,21.773333333333333,2.1533333333333324,0.15317849148404566,0.04186683874306445,0.11131165274098122,59.82584137444105,11.367380560131796,0.607141416527771,7,36,4.850935553157716,4.18763056266514,134.88888888888889
1,ResNet12,22.54,28.62,6.080000000000002,0.03602262609335051,0.02470586085868519,0.011316765234665321,59.27058823529412,5.011764705882353,0.5487009648628095,9,49,4.957078469321264,2.713920817369093,314.8148148148148
2,ShuffleNet,20.926666666666666,15.753333333333334,-5.173333333333332,0.1742765284655706,0.058514748363037085,0.11576178010253352,52.48852806212495,3.0944817037298504,0.5656188356499768,8,44,5.136368094292818,4.642828168642058,73.52335749645451
3,Mobilenetv2,22.66,21.16,-1.5,0.11509925053826313,0.03992126863513332,0.07517798190312981,76.6976579969401,2.0595504295633753,0.642237728620552,10,54,4.983768558182612,4.970932210232672,106.2125
