client,model,operator,family,split,bound_classes,fit_support,pew_family_accuracy,pew_unknown_rate,base_grid_acc,plugin_grid_acc,grid_acc_delta,base_dsa,plugin_dsa,dsa_reduction
0,ResNet10,gaussian_noise,noise,seen,4,2516,72.49602543720191,26.788553259141494,10.9,20.599999999999998,9.699999999999998,0.6210244146201552,0.041496371602018675,0.5795280430181365
0,ResNet10,shot_noise,noise,seen,,70,90.0,10.0,10.5,18.7,8.2,nan,nan,nan
0,ResNet10,impulse_noise,noise,unseen,,0,nan,nan,15.0,13.700000000000001,-1.299999999999999,nan,nan,nan
0,ResNet10,defocus_blur,blur,seen,3,75,82.66666666666667,1.3333333333333335,23.599999999999998,24.7,1.1000000000000014,0.0003374742062979272,0.004558036187663674,-0.004220561981365747
0,ResNet10,glass_blur,blur,seen,5,1021,70.61704211557297,3.525954946131244,23.400000000000002,24.3,0.8999999999999986,0.08924089848429761,0.029227153343991157,0.060013745140306454
0,ResNet10,motion_blur,blur,seen,0,326,80.67484662576688,3.067484662576687,22.7,24.4,1.6999999999999993,0.0346393456712198,0.030080775110982356,0.004558570560237441
0,ResNet10,zoom_blur,blur,unseen,,0,nan,nan,23.3,24.3,1.0,nan,nan,nan
0,ResNet10,snow,weather,seen,6,2413,82.63572316618317,9.407376709490261,13.4,15.8,2.4000000000000004,0.4992273581249774,0.17511967628684247,0.324107681838135
0,ResNet10,frost,weather,seen,1,68,76.47058823529412,2.941176470588235,23.799999999999997,25.6,1.8000000000000043,0.0007205063160205419,8.982208333142647e-05,0.0006306842326891154
0,ResNet10,fog,weather,unseen,,0,nan,nan,22.900000000000002,25.900000000000002,3.0,nan,nan,nan
0,ResNet10,brightness,digital,seen,2,290,23.79310344827586,0.0,17.9,13.3,-4.599999999999998,0.05013480954343409,0.12481627617873961,-0.07468146663530552
0,ResNet10,contrast,digital,seen,9,72,37.5,4.166666666666666,22.2,20.9,-1.3000000000000007,0.002822603967990925,0.0006736513390944945,0.0021489526288964306
0,ResNet10,elastic_transform,digital,seen,8,77,1.2987012987012987,2.5974025974025974,22.1,24.6,2.5,-0.000235130248156421,-0.00013975619512729325,-9.537405302912776e-05
0,ResNet10,pixelate,digital,unseen,,0,nan,nan,22.8,24.8,2.0,nan,nan,nan
0,ResNet10,jpeg_compression,digital,seen,7,1570,0.5095541401273885,0.25477707006369427,19.8,25.0,5.199999999999999,0.23387263415421966,0.012746381493107906,0.22112625266111174
1,ResNet12,gaussian_noise,noise,seen,4,353,71.10481586402267,27.47875354107649,22.7,30.4,7.699999999999999,0.05662390880120848,0.020401470049927456,0.036222438751281026
1,ResNet12,shot_noise,noise,seen,,77,85.71428571428571,14.285714285714285,22.6,30.5,7.899999999999999,nan,nan,nan
