client,model,class_id,class_name,fit_support,fit_fraction,pew_family_accuracy,pew_unknown_rate,ber_effective_groups,ber_multiplier_max,base_grid_acc,plugin_grid_acc,grid_acc_delta,base_prediction_share,plugin_prediction_share,prediction_share_delta
0,ResNet10,0,airplane,272,3.2007531183807956,77.20588235294117,4.044117647058823,5.354163378054007,37.47527612167964,22.866666666666667,51.800000000000004,28.933333333333337,5.6066666666666665,15.793333333333335,10.186666666666667
0,ResNet10,1,automobile,0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
0,ResNet10,2,bird,244,2.8712638267827724,25.81967213114754,0.4098360655737705,4.216767446340923,40.99181933986347,0.0,13.4,13.4,0.09333333333333334,13.38,13.286666666666667
0,ResNet10,3,cat,9,0.10590727229936456,100.0,0.0,1.0,134.88888888888889,0.0,0.0,0.0,0.0,0.0,0.0
0,ResNet10,4,deer,2697,31.73687926570958,71.0789766407119,25.064886911383017,5.980608651457249,7.44159428909466,28.199999999999996,41.733333333333334,13.533333333333339,21.406666666666666,25.71333333333333,4.306666666666665
0,ResNet10,5,dog,1045,12.297011061426218,68.42105263157895,3.827751196172249,5.837219487253679,10.683735156731679,39.666666666666664,31.4,-8.266666666666666,12.653333333333332,9.793333333333333,-2.8599999999999994
0,ResNet10,6,frog,2581,30.37185220051777,80.55017435102674,8.98876404494382,5.952941676641113,8.531974660832049,49.13333333333333,49.46666666666666,0.3333333333333286,28.939999999999998,23.733333333333334,-5.2066666666666634
0,ResNet10,7,horse,1650,19.416333254883504,5.515151515151516,0.36363636363636365,5.614848232357035,17.251044013822504,56.333333333333336,29.933333333333334,-26.400000000000002,31.3,11.586666666666668,-19.71333333333333
0,ResNet10,8,ship,0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
0,ResNet10,9,truck,0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
1,ResNet12,0,airplane,1328,15.623529411764705,71.15963855421687,3.087349397590361,5.996449951818696,5.315833495266572,73.4,54.93333333333334,-18.46666666666667,26.553333333333335,14.013333333333334,-12.540000000000001
1,ResNet12,1,automobile,282,3.317647058823529,4.964539007092199,1.0638297872340425,4.618579306957837,34.527466001229826,4.733333333333333,64.26666666666667,59.53333333333333,0.6933333333333334,15.026666666666666,14.333333333333332
1,ResNet12,2,bird,2604,30.63529411764706,72.54224270353302,3.494623655913978,5.999999999999999,3.0270655270655267,40.8,21.0,-19.799999999999997,17.87333333333333,6.74,-11.133333333333331
1,ResNet12,3,cat,2406,28.305882352941175,62.80133000831255,7.896924355777224,5.999999999999999,2.713920817369093,78.53333333333333,67.26666666666667,-11.266666666666666,47.31333333333333,37.20666666666666,-10.10666666666667
