system,client,architecture,half,arm,routing_mode,routing_eigenvalue
h9,3,Mobilenetv2,u2,frozen,1,15.353021170700657
h9,3,Mobilenetv2,u2,frozen,2,1.4440194682705214
h9,3,Mobilenetv2,u2,frozen,3,0.990581890387084
h9,3,Mobilenetv2,u2,frozen,4,0.20496151131431864
h9,3,Mobilenetv2,u2,frozen,5,0.09927056551018774
h9,3,Mobilenetv2,u2,frozen,6,0.06611220394085215
h9,3,Mobilenetv2,u2,frozen,7,0.044744388147094534
h9,3,Mobilenetv2,u2,frozen,8,0.012240685519978582
h9,3,Mobilenetv2,u2,frozen,9,0.00323612626255974
h9,3,Mobilenetv2,u2,frozen,10,1.6065315378785473e-31
h9,3,Mobilenetv2,u2,crsf,1,15.074440461594426
h9,3,Mobilenetv2,u2,crsf,2,1.5393607834329461
h9,3,Mobilenetv2,u2,crsf,3,0.9900690874784868
h9,3,Mobilenetv2,u2,crsf,4,0.20971346218342007
h9,3,Mobilenetv2,u2,crsf,5,0.10178751110255622
h9,3,Mobilenetv2,u2,crsf,6,0.06826181401194516
h9,3,Mobilenetv2,u2,crsf,7,0.045453031525689004
h9,3,Mobilenetv2,u2,crsf,8,0.012323245285585267
h9,3,Mobilenetv2,u2,crsf,9,0.003379988167939059
h9,3,Mobilenetv2,u2,crsf,10,2.2888074464043865e-31
h9,3,Mobilenetv2,u2,rawspec,1,15.340462546811501
h9,3,Mobilenetv2,u2,rawspec,2,1.398248069599976
h9,3,Mobilenetv2,u2,rawspec,3,1.0121190480363211
h9,3,Mobilenetv2,u2,rawspec,4,0.2125870198413754
h9,3,Mobilenetv2,u2,rawspec,5,0.10068456048745818
h9,3,Mobilenetv2,u2,rawspec,6,0.06661638047044963
h9,3,Mobilenetv2,u2,rawspec,7,0.04576256301593749
h9,3,Mobilenetv2,u2,rawspec,8,0.01241151569973064
h9,3,Mobilenetv2,u2,rawspec,9,0.0032255598494726713
h9,3,Mobilenetv2,u2,rawspec,10,2.6377142999400644e-31
l9,0,ResNet10,u1,frozen,1,18.60208824118689
l9,0,ResNet10,u1,frozen,2,5.323215022015838
l9,0,ResNet10,u1,frozen,3,1.4608173214580722
l9,0,ResNet10,u1,frozen,4,0.6405161550452018
l9,0,ResNet10,u1,frozen,5,0.2918821512967678
