system,client,architecture,half,arm,gram_max_abs_error,chi,chi_rw,response_trace,weighted_trace,mode1_readout_gain,mean_readout_gain,response_energy_weighted_readout_gain,mode1_weighted_lambda,top1_weighted_share,top2_weighted_share,top4_weighted_share,top8_weighted_share,leading1_response_mode_weighted_share,leading2_response_modes_weighted_share,leading4_response_modes_weighted_share,leading8_response_modes_weighted_share,routing_frobenius,raw_routing_frobenius,mean_top1_top2_margin,routing_top1_share,routing_top2_share,routing_top4_share,routing_top8_share,mode1_abs_cosine,top4_mode_abs_cosine_mean,top8_mode_abs_cosine_mean,mode1_readout_coupling_cosine,top4_readout_coupling_cosine_mean,top8_readout_coupling_cosine_mean,top2_subspace_overlap,top4_subspace_overlap,top8_subspace_overlap,routing_matrix_cosine,raw_routing_matrix_cosine,row_cosine_mean,row_cosine_min,column_cosine_mean,column_cosine_min,top_class_retention,top_abs_class_retention,class_norm_vector_cosine,top3_class_norm_overlap,top5_class_norm_overlap
h9,0,ResNet10,u1,frozen,7.767952947546064e-13,0.5655917817925007,0.48248176116646246,23.04019264913505,26.422048589813308,1.0260415137662755,0.41465915380018636,1.146780714561656,17.531180360182862,0.6635057194975331,0.8564845277393419,0.9469891528012402,0.9901437836894242,0.6635057194975332,0.7166718257108028,0.9469891528012403,0.9871604226040128,5.140238184151909,33.616122305854645,0.0701774508030394,0.7040365616600487,0.9055052329449897,0.9850347769680606,0.9999853116412447,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h9,0,ResNet10,u1,crsf,7.979172877981e-13,0.5154799022265018,0.43075099384156235,21.9200787981799,25.65638001871079,1.0356938320737696,0.41526499871689637,1.1704510852780843,15.957574743678066,0.6219729646988569,0.7995905105641375,0.9396420945378149,0.9889850218012521,0.621972964698857,0.7196266449448098,0.9396420945378151,0.9856345222742564,5.0652127318317905,31.333198906426293,0.07209973560580854,0.6629989436815574,0.8969155239117949,0.9831489306043754,0.9999836815271338,0.9972724301634617,0.9825690874266662,0.9881546981870879,0.9980431587862769,0.9582978928202192,0.9748150302725926,0.9665206279470648,0.9949484352557398,0.9964487317375377,0.9955998956004287,0.993602564988907,0.9947108887869895,0.9861889937366374,0.9957345452770757,0.9857017782731278,0.90625,0.953125,0.9988169347349022,1.0,1.0
h9,0,ResNet10,u1,rawspec,7.382428002244978e-13,0.5525922628430437,0.4897245666309792,23.057678717622604,28.276231674922727,1.1327759820767975,0.4169837625246745,1.22632603312803,19.130152646040084,0.6765453355301936,0.8334003170226504,0.9422560960719513,0.9899359561529483,0.6765453355301936,0.7458481824629005,0.9422560960719513,0.987442554500292,5.317540002193,35.17096814622594,0.07260807953728429,0.7311060560550124,0.9060053455003096,0.9844274388735543,0.9999857702301443,0.9937902512448179,0.9876339671732575,0.9912337171103007,0.9919790960855216,0.9744510412840772,0.981362311144323,0.9785767473076399,0.9975169685232006,0.9965265261555658,0.9952511395450025,0.9953043194920681,0.9947069414241596,0.9849684482985536,0.9951620905833366,0.9851539879423061,0.921875,0.953125,0.998451782441819,1.0,1.0
h9,0,ResNet10,u2,frozen,7.711054017534025e-13,0.5605912376677596,0.47740032463385595,22.538753301133237,25.453218971302338,1.0105842361974833,0.4088644733735143,1.1293090896035747,16.80748308444508,0.6603283892459717,0.8494979396490031,0.9436073346935979,0.9903795522426645,0.6603283892459717,0.7166203319178363,0.9436073346935979,0.9866256085868796,5.045118330753237,33.525102999259964,0.07205853080815705,0.6957720776430425,0.9036683202460899,0.9845933771505063,0.9999846596594776,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h9,0,ResNet10,u2,crsf,7.946143742998402e-13,0.510062070197273,0.42300683713899234,21.465625584444982,24.852128421904283,1.0218650286311657,0.4095630159535973,1.1577639945380078,15.321229280412187,0.6164956586538597,0.7832603427525049,0.9362024650111094,0.9885721878878475,0.6164956586538597,0.7259310481767245,0.9362024650111094,0.9850156172149317,4.985190911279556,31.42633061241697,0.07411183139607719,0.6516729263200925,0.8969033297668239,0.9828922362090174,0.9999833596241242,0.9972169077470857,0.983863406041324,0.988959878139388,0.9976570364167441,0.967532584609337,0.978928492245971,0.9695555221614551,0.9947578183980177,0.9967211052189547,0.9953067514443248,0.9932283725871076,0.9944306604102131,0.9850774642892044,0.9954214252662559,0.9838864043515922,0.90625,0.953125,0.9986663455837489,1.0,1.0
h9,0,ResNet10,u2,rawspec,7.350509090287005e-13,0.5464653847507049,0.47972252679224703,22.569618253616834,27.173483288446608,1.1075885656093392,0.41046694790126453,1.203985064483401,18.193665675290003,0.6695374855760737,0.8191762289210586,0.937463726615861,0.9894848977272438,0.6695374855760737,0.747341579347463,0.9374637266158611,0.9868230386541,5.212819130609326,34.9296627966596,0.07480542668472902,0.7201808398414844,0.9043595182094417,0.9839015700693038,0.9999851619066946,0.9939133089952871,0.9884623377816996,0.9918595421430276,0.9920922655868774,0.9793057142815622,0.9843372441409457,0.9802866546696227,0.9974998529579413,0.9966828084255024,0.9952880441616343,0.9953083672276474,0.9944765068175903,0.9842582361119766,0.9952360271613485,0.9854070980424366,0.921875,0.984375,0.9985181613946027,1.0,1.0
h9,3,Mobilenetv2,u1,frozen,9.45632461224477e-13,0.633278838691563,0.7046497030900206,18.56808086726723,18.212031868437336,1.0384951058064353,0.27112305103049755,0.9808246742689732,15.20355231837392,0.8348081327884499,0.9018460839955934,0.9736580108028029,0.993939083387752,0.83480813278845,0.8871372226107117,0.9736580108028031,0.9931412581788123,4.267555725287879,16.08101660209291,0.07963826290038425,0.8442438700360816,0.9264593825899522,0.9872095831953219,0.9998096138962699,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h9,3,Mobilenetv2,u1,crsf,9.32476318382669e-13,0.6192951950689999,0.6922633329194628,18.29766190889378,18.041512955861972,1.0469744516731798,0.27099886453692257,0.9860010008761118,14.919169718389615,0.8269356209143278,0.893828203482766,0.9728324281755721,0.9938512870184393,0.8269356209143282,0.8851378908439974,0.9728324281755727,0.9930269077787001,4.247530218357719,15.84846035955561,0.08066710081718091,0.8368433438966981,0.9253357051640776,0.9868182178391357,0.9997998741558692,0.9993997818595771,0.9984660595480932,0.9986095974780124,0.9997758584711122,0.9983149739394144,0.9985132519987732,0.9970616131897942,0.9988697325633589,0.999346907812411,0.999681497710046,0.9996619755137389,0.9998197967993183,0.9995551960656733,0.9996475544885715,0.9980696633768248,1.0,0.953125,0.9998129656331017,1.0,1.0
h9,3,Mobilenetv2,u1,rawspec,9.545697565727096e-13,0.6282923890019498,0.7036645954694514,18.41217182320804,18.170822899496514,1.0488155683021694,0.27142238547104675,0.9868918818470229,15.16035015837997,0.834323808130893,0.8989667303870509,0.9733454537047471,0.9938831793786111,0.8343238081308932,0.8871402144354275,0.9733454537047472,0.9930203791079074,4.2627248209914415,15.91420222251003,0.07773251007044434,0.8444151191277472,0.9244939930550674,0.9870270766196155,0.9998091889197062,0.999344175790039,0.9919985909506908,0.9927597236834349,0.9997535905157686,0.9968327474555189,0.989537582099919,0.9979015879640518,0.9875192742501382,0.9992261933095903,0.9997783225971667,0.9997805654673961,0.9998590899884098,0.9991920795140811,0.999749839969721,0.9988622200105958,1.0,0.984375,0.9998309325613571,0.6666666666666666,1.0
h9,3,Mobilenetv2,u2,frozen,9.06746899786981e-13,0.6338306996658329,0.7026694515654248,18.790247712053528,18.21818801005326,1.0248500792430437,0.27102794702315025,0.9695554997056636,15.18496844680252,0.833505968783672,0.9012167728534726,0.9732441850212176,0.9943382951691683,0.833505968783672,0.8868571773603118,0.9732441850212176,0.9936338641989995,4.268276936897752,16.416012034869958,0.07747834056899257,0.8427304165611024,0.9219929352854496,0.9876165527956912,0.9998223683792937,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
