system,client,architecture,half,arm,class,routing_norm
h9,3,Mobilenetv2,u2,frozen,2,1.2786100212009768
h9,3,Mobilenetv2,u2,frozen,3,0.3751827877482803
h9,3,Mobilenetv2,u2,frozen,4,1.0986429420992452
h9,3,Mobilenetv2,u2,frozen,5,2.070440188327478
h9,3,Mobilenetv2,u2,frozen,6,1.1884014594276344
h9,3,Mobilenetv2,u2,frozen,7,0.5067759956668888
h9,3,Mobilenetv2,u2,frozen,8,1.5376099989365821
h9,3,Mobilenetv2,u2,frozen,9,1.488170450023531
h9,3,Mobilenetv2,u2,crsf,0,1.5239532639100175
h9,3,Mobilenetv2,u2,crsf,1,1.541832692797151
h9,3,Mobilenetv2,u2,crsf,2,1.2350162187805032
h9,3,Mobilenetv2,u2,crsf,3,0.3905901554282961
h9,3,Mobilenetv2,u2,crsf,4,1.1080624728251118
h9,3,Mobilenetv2,u2,crsf,5,2.044505800247243
h9,3,Mobilenetv2,u2,crsf,6,1.1660533568955667
h9,3,Mobilenetv2,u2,crsf,7,0.5223205823635786
h9,3,Mobilenetv2,u2,crsf,8,1.5798176525341123
h9,3,Mobilenetv2,u2,crsf,9,1.4598467739390095
h9,3,Mobilenetv2,u2,rawspec,0,1.458657067808319
h9,3,Mobilenetv2,u2,rawspec,1,1.5776565665360478
h9,3,Mobilenetv2,u2,rawspec,2,1.3040144685454842
h9,3,Mobilenetv2,u2,rawspec,3,0.36599932225515375
h9,3,Mobilenetv2,u2,rawspec,4,1.1298164843264096
h9,3,Mobilenetv2,u2,rawspec,5,2.0555457124038523
h9,3,Mobilenetv2,u2,rawspec,6,1.194272627546875
h9,3,Mobilenetv2,u2,rawspec,7,0.4868800723350642
h9,3,Mobilenetv2,u2,rawspec,8,1.5171174391215287
h9,3,Mobilenetv2,u2,rawspec,9,1.5080746800058091
l9,0,ResNet10,u1,frozen,0,2.6633309404645127
l9,0,ResNet10,u1,frozen,1,1.25489170999512
l9,0,ResNet10,u1,frozen,2,1.010275759625367
l9,0,ResNet10,u1,frozen,3,1.1650059469863823
l9,0,ResNet10,u1,frozen,4,2.4843500963852514
l9,0,ResNet10,u1,frozen,5,1.9590141955429892
l9,0,ResNet10,u1,frozen,6,0.9835262217366352
l9,0,ResNet10,u1,frozen,7,1.1743069830467194
l9,0,ResNet10,u1,frozen,8,1.19763532752888
l9,0,ResNet10,u1,frozen,9,1.259239692748607
l9,0,ResNet10,u1,crsf,0,2.5856280699513303
l9,0,ResNet10,u1,crsf,1,1.252578066336161
l9,0,ResNet10,u1,crsf,2,1.160020373923864
l9,0,ResNet10,u1,crsf,3,1.1172737785668223
l9,0,ResNet10,u1,crsf,4,2.3257966720403123
l9,0,ResNet10,u1,crsf,5,1.9238964087030443
l9,0,ResNet10,u1,crsf,6,1.0721039606165368
l9,0,ResNet10,u1,crsf,7,1.2207148065432183
l9,0,ResNet10,u1,crsf,8,1.2048068034154065
l9,0,ResNet10,u1,crsf,9,1.2673551989079141
l9,0,ResNet10,u1,rawspec,0,2.75229817390254
l9,0,ResNet10,u1,rawspec,1,1.3723122786180837
l9,0,ResNet10,u1,rawspec,2,1.0638544811021884
l9,0,ResNet10,u1,rawspec,3,1.137637704541745
l9,0,ResNet10,u1,rawspec,4,2.6736545219455192
l9,0,ResNet10,u1,rawspec,5,1.7983711925361796
l9,0,ResNet10,u1,rawspec,6,1.0499622260703134
l9,0,ResNet10,u1,rawspec,7,1.1502814309104212
l9,0,ResNet10,u1,rawspec,8,1.3017646157476856
l9,0,ResNet10,u1,rawspec,9,1.3744500474389758
l9,0,ResNet10,u2,frozen,0,2.646663576789826
l9,0,ResNet10,u2,frozen,1,1.2093493830830768
l9,0,ResNet10,u2,frozen,2,1.0270008238552382
l9,0,ResNet10,u2,frozen,3,1.1625191446474241
l9,0,ResNet10,u2,frozen,4,2.3883317781825526
l9,0,ResNet10,u2,frozen,5,1.9629558888756617
l9,0,ResNet10,u2,frozen,6,0.9739933861424873
l9,0,ResNet10,u2,frozen,7,1.1225468359962314
l9,0,ResNet10,u2,frozen,8,1.1564431858887563
l9,0,ResNet10,u2,frozen,9,1.2149994389178194
l9,0,ResNet10,u2,crsf,0,2.569342150483472
l9,0,ResNet10,u2,crsf,1,1.2211795052372967
l9,0,ResNet10,u2,crsf,2,1.1795491368922957
l9,0,ResNet10,u2,crsf,3,1.1159393565902032
l9,0,ResNet10,u2,crsf,4,2.229886380347924
l9,0,ResNet10,u2,crsf,5,1.9291250564398263
l9,0,ResNet10,u2,crsf,6,1.074510415180898
l9,0,ResNet10,u2,crsf,7,1.1656287393156322
l9,0,ResNet10,u2,crsf,8,1.1762777205268824
l9,0,ResNet10,u2,crsf,9,1.237684983752941
l9,0,ResNet10,u2,rawspec,0,2.736677126799018
l9,0,ResNet10,u2,rawspec,1,1.3169427985266722
l9,0,ResNet10,u2,rawspec,2,1.0824291380581814
l9,0,ResNet10,u2,rawspec,3,1.1381383244646341
l9,0,ResNet10,u2,rawspec,4,2.5750586233473047
l9,0,ResNet10,u2,rawspec,5,1.8080473290992682
l9,0,ResNet10,u2,rawspec,6,1.0298508322753106
l9,0,ResNet10,u2,rawspec,7,1.1004969094957564
l9,0,ResNet10,u2,rawspec,8,1.2519318741435934
l9,0,ResNet10,u2,rawspec,9,1.3205112316807337
l9,3,Mobilenetv2,u1,frozen,0,1.0899351453410475
l9,3,Mobilenetv2,u1,frozen,1,0.9220301138245253
l9,3,Mobilenetv2,u1,frozen,2,1.1469338537009524
l9,3,Mobilenetv2,u1,frozen,3,0.5295670744602589
l9,3,Mobilenetv2,u1,frozen,4,0.541221386866211
l9,3,Mobilenetv2,u1,frozen,5,1.4463674944063254
l9,3,Mobilenetv2,u1,frozen,6,0.9761383053685768
l9,3,Mobilenetv2,u1,frozen,7,0.5574624307105666
l9,3,Mobilenetv2,u1,frozen,8,1.1004325098076309
l9,3,Mobilenetv2,u1,frozen,9,1.0907319832652727
l9,3,Mobilenetv2,u1,crsf,0,1.1073047346698495
l9,3,Mobilenetv2,u1,crsf,1,0.9136406088603379
l9,3,Mobilenetv2,u1,crsf,2,1.1191524209132997
l9,3,Mobilenetv2,u1,crsf,3,0.5457249495932008
l9,3,Mobilenetv2,u1,crsf,4,0.5474117551843467
