system,client,architecture,arm,relative_delta_chi,relative_delta_chi_rw,absolute_delta_dsa,relative_delta_dsa,chi_rw_to_dsa_efficiency,relative_delta_mode1_readout_gain,relative_delta_weighted_mean_readout_gain,routing_frobenius_ratio,raw_routing_frobenius_ratio,routing_matrix_cosine,row_cosine_mean,column_cosine_mean,top_class_retention,class_norm_vector_cosine,top3_class_norm_overlap,top5_class_norm_overlap,mode1_abs_cosine,mode1_readout_coupling_cosine
h9,0,ResNet10,crsf,0.08936473494753903,0.11055967851643025,0.009445226046422617,0.035766417289100814,0.3235032678191586,-0.010278329605500198,-0.02290123858710342,0.9867503045576942,0.9347391149571774,0.9954533235223768,0.9945707745986013,0.9955779852716657,0.90625,0.9987416401593255,1.0,1.0,0.9972446689552736,0.9978500976015106
h9,0,ResNet10,rawspec,0.02408611335616824,-0.009964773553339943,-0.0007112825149033775,-0.0026934270406488246,-0.2702948568004393,-0.10003742598560578,-0.0677571215177784,1.0338724145190505,1.0440773254334026,0.9952695918533184,0.9945917241208749,0.9951990588723425,0.921875,0.9984849719182108,1.0,1.0,0.9938517801200525,0.9920356808361994
h9,3,Mobilenetv2,crsf,0.021990010819643347,0.01733358765275754,0.0010285185414556364,0.00550237936023624,0.3174403055192608,-0.008198719102985152,-0.005239403077179656,0.9952685861802169,0.9854303165479545,0.9996893509246176,0.9998171966487688,0.9996557508241317,1.0,0.9998184982678696,1.0,1.0,0.9994160449661246,0.9997858203059189
h9,3,Mobilenetv2,rawspec,0.007524650195023528,0.0009860853799628954,0.00021110552909192615,0.0011293745900421075,1.1453111596529337,-0.010034509251056969,-0.006236352632021177,0.9990761287205493,0.989889063324507,0.9997823700294187,0.9998543885843045,0.9997556973560835,0.9921875,0.9998350023848628,0.8333333333333333,1.0,0.999365589492702,0.9997622656867708
l9,0,ResNet10,crsf,0.08936473494753903,0.11055967851643025,0.009445226046422617,0.035766417289100814,0.3235032678191586,-0.010278329605500198,-0.02290123858710342,0.9867503045576942,0.9347391149571774,0.9954533235223768,0.9945707745986013,0.9955779852716657,0.90625,0.9987416401593255,1.0,1.0,0.9972446689552736,0.9978500976015106
l9,0,ResNet10,rawspec,0.02408611335616824,-0.009964773553339943,-0.0007112825149033775,-0.0026934270406488246,-0.2702948568004393,-0.10003742598560578,-0.0677571215177784,1.0338724145190505,1.0440773254334026,0.9952695918533184,0.9945917241208749,0.9951990588723425,0.921875,0.9984849719182108,1.0,1.0,0.9938517801200525,0.9920356808361994
l9,3,Mobilenetv2,crsf,0.024117321216293744,0.015622988822903708,0.000939934925535596,0.005057985213071424,0.3237527255768299,-0.016994501140478655,-0.012279678842169527,0.9953891725851366,0.9843147398176676,0.9997200264775195,0.9998462274880862,0.9996913789181912,1.0,0.9998380990421081,1.0,1.0,0.999442288129097,0.9998165736455307
l9,3,Mobilenetv2,rawspec,0.006944538888841719,-0.006056467488973209,-0.0007095192321403543,-0.0038180704717518184,-0.6304121137780795,-0.013677531726280194,-0.0064580575863090114,1.0017482541186644,0.99674425162419,0.9998351040370326,0.9998771213938478,0.9997706234765085,0.9765625,0.9999106893914851,0.8333333333333333,1.0,0.9994374497252907,0.9998553169039316
