system,client,architecture,arm,chi,chi_rw,response_trace,weighted_trace,mode1_readout_gain,mean_readout_gain,response_energy_weighted_readout_gain,mode1_weighted_lambda,top1_weighted_share,top2_weighted_share,top4_weighted_share,top8_weighted_share,leading1_response_mode_weighted_share,leading2_response_modes_weighted_share,leading4_response_modes_weighted_share,leading8_response_modes_weighted_share,routing_frobenius,raw_routing_frobenius,mean_top1_top2_margin,routing_top1_share,routing_top2_share,routing_top4_share,routing_top8_share,routing_matrix_cosine,raw_routing_matrix_cosine,row_cosine_mean,row_cosine_min,column_cosine_mean,column_cosine_min,top_class_retention,top_abs_class_retention,class_norm_vector_cosine,top3_class_norm_overlap,top5_class_norm_overlap,mode1_abs_cosine,mode1_readout_coupling_cosine,top4_subspace_overlap,top8_subspace_overlap,dsa
h9,0,ResNet10,frozen,0.5630915097301301,0.4799410429001592,22.789472975134146,25.937633780557825,1.0183128749818793,0.4117618135868503,1.1380449020826153,17.16933172231397,0.6619170543717524,0.8529912336941725,0.9452982437474191,0.9902616679660443,0.6619170543717525,0.7166460788143195,0.9452982437474191,0.9868930155954463,5.092678257452572,33.5706126525573,0.07111799080559822,0.6999043196515455,0.9045867765955398,0.9848140770592835,0.9999849856503611,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26408085467651476
h9,0,ResNet10,crsf,0.5127709862118874,0.42687891549027734,21.69285219131244,25.254254220307537,1.0287794303524675,0.4124140073352468,1.164107539908046,15.639402012045126,0.6192343116763583,0.7914254266583212,0.9379222797744622,0.9887786048445498,0.6192343116763583,0.7227788465607672,0.9379222797744622,0.9853250697445941,5.025201821555673,31.379764759421633,0.07310578350094286,0.657335935000825,0.8969094268393094,0.9830205834066964,0.999983520575629,0.9954533235223768,0.9934154687880072,0.9945707745986013,0.9856332290129208,0.9955779852716657,0.9847940913123601,0.90625,0.953125,0.9987416401593255,1.0,1.0,0.9972446689552736,0.9978500976015106,0.9948531268268788,0.9965849184782463,0.25463562863009215
h9,0,ResNet10,rawspec,0.5495288237968743,0.4847235467116131,22.81364848561972,27.724857481684666,1.1201822738430685,0.4137253552129695,1.2151555488057153,18.661909160665044,0.6730414105531337,0.8262882729718545,0.9398599113439061,0.989710426940096,0.6730414105531337,0.7465948809051818,0.9398599113439061,0.987132796577196,5.265179566401162,35.05031547144277,0.07370675311100666,0.7256434479482484,0.9051824318548757,0.9841645044714291,0.9999854660684195,0.9952695918533184,0.9953063433598577,0.9945917241208749,0.9846133422052651,0.9951990588723425,0.9852805429923714,0.921875,0.96875,0.9984849719182108,1.0,1.0,0.9938517801200525,0.9920356808361994,0.997508410740571,0.9966046672905341,0.26479213719141814
h9,3,Mobilenetv2,frozen,0.633554769178698,0.7036595773277228,18.679164289660378,18.2151099392453,1.0316725925247394,0.27107549902682393,0.9751900869873185,15.194260382588219,0.834157050786061,0.901531428424533,0.9734510979120102,0.9941386892784602,0.834157050786061,0.8869971999855117,0.9734510979120103,0.9933875611889058,4.267916331092815,16.248514318481433,0.07855830173468842,0.843487143298592,0.9242261589377009,0.9874130679955065,0.9998159911377817,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.18692250645027822
h9,3,Mobilenetv2,crsf,0.6196228929496218,0.6914626323664104,18.40638605232794,18.04315117032249,1.0401309863170982,0.27094272437023237,0.9802995009299149,14.910625191512914,0.8263870290434168,0.8942749597941824,0.9725089713003552,0.9940516773390347,0.8263870290434169,0.884408807102248,0.9725089713003554,0.9932756693300933,4.247723052782204,16.01177860829513,0.07940692903728563,0.8361167788335135,0.9230168456004234,0.9870026725471741,0.9998062815606586,0.9996893509246176,0.9996716893244333,0.9998171966487688,0.9994810347047971,0.9996557508241317,0.998163395537965,1.0,0.96875,0.9998184982678696,1.0,1.0,0.9994160449661246,0.9997858203059189,0.9988056757787227,0.9993479101195704,0.18589398790882258
h9,3,Mobilenetv2,rawspec,0.6287874911612394,0.702965708906049,18.529146614743382,18.181470081654375,1.0420249206984908,0.2712646164111516,0.9812717162530228,15.160902148796346,0.8338658511472932,0.8984860369757312,0.9732087515630614,0.9940747058501748,0.8338658511472932,0.8873425095926544,0.9732087515630616,0.9932630159152046,4.26397332577142,16.084226619136427,0.07685204943701388,0.8438314509546454,0.9223009411474965,0.9872278329076669,0.9998159417812589,0.9997823700294187,0.9997853251526363,0.9998543885843045,0.9991354704166915,0.9997556973560835,0.9990072769402262,0.9921875,0.984375,0.9998350023848628,0.8333333333333333,1.0,0.999365589492702,0.9997622656867708,0.9892258370308349,0.9992205175772512,0.1867114009211863
l9,0,ResNet10,frozen,0.5630915097301301,0.4799410429001592,22.789472975134146,25.937633780557825,1.0183128749818793,0.4117618135868503,1.1380449020826153,17.16933172231397,0.6619170543717524,0.8529912336941725,0.9452982437474191,0.9902616679660443,0.6619170543717525,0.7166460788143195,0.9452982437474191,0.9868930155954463,5.092678257452572,33.5706126525573,0.07111799080559822,0.6999043196515455,0.9045867765955398,0.9848140770592835,0.9999849856503611,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26408085467651476
l9,0,ResNet10,crsf,0.5127709862118874,0.42687891549027734,21.69285219131244,25.254254220307537,1.0287794303524675,0.4124140073352468,1.164107539908046,15.639402012045126,0.6192343116763583,0.7914254266583212,0.9379222797744622,0.9887786048445498,0.6192343116763583,0.7227788465607672,0.9379222797744622,0.9853250697445941,5.025201821555673,31.379764759421633,0.07310578350094286,0.657335935000825,0.8969094268393094,0.9830205834066964,0.999983520575629,0.9954533235223768,0.9934154687880072,0.9945707745986013,0.9856332290129208,0.9955779852716657,0.9847940913123601,0.90625,0.953125,0.9987416401593255,1.0,1.0,0.9972446689552736,0.9978500976015106,0.9948531268268788,0.9965849184782463,0.25463562863009215
l9,0,ResNet10,rawspec,0.5495288237968743,0.4847235467116131,22.81364848561972,27.724857481684666,1.1201822738430685,0.4137253552129695,1.2151555488057153,18.661909160665044,0.6730414105531337,0.8262882729718545,0.9398599113439061,0.989710426940096,0.6730414105531337,0.7465948809051818,0.9398599113439061,0.987132796577196,5.265179566401162,35.05031547144277,0.07370675311100666,0.7256434479482484,0.9051824318548757,0.9841645044714291,0.9999854660684195,0.9952695918533184,0.9953063433598577,0.9945917241208749,0.9846133422052651,0.9951990588723425,0.9852805429923714,0.921875,0.96875,0.9984849719182108,1.0,1.0,0.9938517801200525,0.9920356808361994,0.997508410740571,0.9966046672905341,0.26479213719141814
l9,3,Mobilenetv2,frozen,0.645307574188913,0.712248088219335,17.675738317823765,9.607104440848042,0.5731525998976195,0.26221906041455006,0.5435234023377944,8.073281370479902,0.8403192961777293,0.90175666693326,0.9623871536065072,0.9911791036627298,0.8403192961777293,0.8804175112531137,0.9623871536065072,0.9911791036627298,3.0995086602265993,19.586906014050932,0.050741599560536144,0.8533132227741334,0.925032099498617,0.9873065692740465,0.9994281201423694,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.18583188481977142
